Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume,Analyst Recom.
AAPL,Apple Inc.,Technology,Consumer Electronics,USA,3.5B,28.5,185.50,1.25%,52000000,1.8
TSLA,Tesla Inc.,Consumer Cyclical,Auto Manufacturers,USA,800M,65.2,245.30,-2.10%,98000000,3.2
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,USA,2.8B,32.1,378.90,0.85%,22000000,1.5
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,USA,1.9B,25.8,141.20,0.45%,28000000,1.9
AMZN,Amazon.com Inc.,Consumer Cyclical,Internet Retail,USA,1.8B,58.3,178.50,1.80%,45000000,1.6
GME,GameStop Corp.,Consumer Cyclical,Specialty Retail,USA,5.2K,,-15.80,-5.30%,8500000,4.8
AMC,AMC Entertainment,Communication Services,Entertainment,USA,2.1K,,-4.25,-3.20%,12000000,4.5
NVDA,NVIDIA Corporation,Technology,Semiconductors,USA,1.2B,62.4,875.30,3.50%,55000000,1.3
SPY,SPDR S&P 500 ETF,,,USA,450M,-,502.10,0.60%,75000000,-
META,Meta Platforms Inc.,Communication Services,Internet Content & Information,USA,1.3B,28.9,505.75,1.10%,18000000,1.7
