event_id,detected_sec,date_et,source,category,subtype,direction,severity,confidence,directness,tickers,title
0ed667b7e17d23a3fdc9beb6,1723614696,2024-08-14,TradingView News Flow,product_launch,product_launch,bullish,medium,0.79,direct,BNKK,"BNKK: Revenue rose sharply post-product launch, but losses deepened amid high expenses and going concern risks"
461a593de4d5df52a2688708,1723672889,2024-08-14,TradingView News Flow,product_launch,product_launch,bullish,medium,0.79,direct,BNKK,"BNKK: Revenue surged after product launch, but heavy losses and going concern risks persist"
304f311713dbc9976e87aa2f,1725373191,2024-09-03,TradingView News Flow,earnings_guidance,earnings_negative,bearish,high,0.9,direct,ATPC,Dow Tumbles 1%; ISM Manufacturing PMI Misses Estimates
30348a99ae2103f3b8c0a499,1731621357,2024-11-14,TradingView News Flow,capital_structure,dilution,bearish,high,0.91,direct,BNKK,"BNKK: Revenue up, losses deepen as Safety Shot pivots product strategy and eliminates convertible debt"
e9c46bd9c28b17b425890c66,1742851333,2025-03-24,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,TLSA,Tiziana Life Sciences Ltd Files For Mixed Shelf Of Up To $250 Million - SEC Filing
1036e2fcc7d9e9ac2b422754,1743685671,2025-04-03,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,ATPC,Agape ATP- Enters $24 Billion Sales And Purchase Agreements With Swiss One Oil&Gas AG - SEC Filing
de66490fd2eaf12a0980975c,1745359371,2025-04-22,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,NCL,Northann Corp Receives Notice Of Non-Compliance From NYSE American - SEC Filing
1cb872b667f822397ee95c69,1745377199,2025-04-22,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,NCL,Northann Corp. Receives NYSE Notice Regarding Late Filing of Annual Report on Form 10-K
d92945a31eca665d59fdd542,1747167958,2025-05-13,TradingView News Flow,fda_clinical,fda_positive,bullish,high,0.94,direct,USBC,USBC: Liquidity crisis and default overshadow cost cuts as Know Labs pursues FDA clearance
dac1431a667a741648f53bb8,1747224461,2025-05-14,TradingView News Flow,earnings_guidance,earnings_report,uncertain,medium,0.75,direct,SMTK,Smartkem Reports First Quarter 2025 Financial Results
c9dcce5f44cab5c6cc7ad654,1757108798,2025-09-05,TradingView News Flow,capital_structure,offering,bearish,high,0.94,direct,PPBT,Purple Biotech Announces Closing Of Up To $18 Million Public Offering $6 Million Upfront With Up To An Additional $12 Million Of Potential Aggregate Gross Proceeds Upon The Exercise In Full Of Short-Term Warrants
87581d23e02f0fb315f10e01,1758315991,2025-09-19,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,PPBT,Purple Biotech May Offer And Sell American Depositary Shares - SEC Filing
cfbf4d9d166bc917c6faa446,1759270496,2025-09-30,TradingView News Flow,capital_structure,offering,bearish,high,0.94,direct,GOVX,GeoVax Labs Announces $2.5 Million Registered Direct Offering
44c01711e386d909026e209e,1759327166,2025-10-01,TradingView News Flow,capital_structure,offering,bearish,high,0.94,direct,AGRZ,Agroz Announces Pricing Of Initial Public Offering
19129d144940bf2e697f0fed,1759442179,2025-10-02,TradingView News Flow,capital_structure,offering,bearish,high,0.94,direct,AGRZ,Agroz Announces Closing Of Initial Public Offering
f1a7d30648c1dad01843c022,1759522132,2025-10-03,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,TDTH,Trident Digital Tech Holdings Files For Resale Of Up To 338.4 Million Class B Shares In Adss - SEC Filing
88586d924408227503395832,1761045300,2025-10-21,TradingView News Flow,capital_structure,reverse_split,mixed,high,0.9,direct,GNPX,"Genprex, Inc. Completes Reverse Stock Split"
6e6a6dd32ecf632aa4ac8819,1761221660,2025-10-23,TradingView News Flow,capital_structure,offering,bearish,high,0.94,direct,GNPX,Genprex Announces Registered Direct Offering of up to $8.1 Million Priced At-The-Market Under Nasdaq Rules
a356f56b580f2dd629ea3108,1761341778,2025-10-24,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,AEC,Anfield Energy Files For Mixed Shelf Offering Of Upto US$100 Million - SEC Filing
80e68899d81eb2a9186b252e,1761922102,2025-10-31,TradingView News Flow,contract_partnership,partnership,bullish,medium,0.83,direct,AIXI,Xiao-I Corporation Renews Strategic Partnership With Premier Multinational Insurer
2e8a7c91d726ec935006fdf8,1762296880,2025-11-04,TradingView News Flow,capital_structure,offering,bearish,high,0.94,direct,BQ,Boqii Holding Limited Announces Closing Of $4.2 Million Registered Direct Offering
140b71ed0e6790eca2c7f4b0,1762348252,2025-11-05,TradingView News Flow,capital_structure,offering,bearish,high,0.94,direct,WXM,WF International Announces Pricing of $3.44 Million Follow-on Public Offering
45b8a0d1c9083992f12236f9,1762430878,2025-11-06,TradingView News Flow,earnings_guidance,earnings_negative,bearish,high,0.9,direct,PRQR,"ProQR Q3 revenue misses estimates, reports net loss"
c50ba73efaff7caf77e31757,1762777205,2025-11-10,TradingView News Flow,earnings_guidance,earnings_positive,bullish,high,0.89,direct,POWW,"Online firearms firm Ammo's Q2 revenue flat, beats expectations"
069d0d4bfbd4ee4fd0504529,1762952676,2025-11-12,TradingView News Flow,management_change,management_change,uncertain,medium,0.82,direct,VLN,Valens Semiconductor up after Q3 revenue beat; co appoints new CEO
bdf2a2a53f97f3efc0fb7a82,1762952992,2025-11-12,TradingView News Flow,geopolitical,sanctions_tariffs,uncertain,high,0.84,direct,HOUR,"Online retailer Hour Loop Q3 revenue up, margins hit by tariffs"
86fae370f1c145f7cb173829,1762970174,2025-11-12,TradingView News Flow,earnings_guidance,earnings_positive,bullish,high,0.89,direct,VLN,VLN: Q3 revenue and gross margin beat expectations; full-year growth outlook remains strong
d32a9887146e94bd44a6b94c,1763072700,2025-11-13,TradingView News Flow,earnings_guidance,earnings_report,uncertain,medium,0.75,direct,GOVX,GeoVax Reports Third Quarter 2025 Financial Results and Provides Business Update
d15de616e8638ac50667e279,1763127301,2025-11-14,TradingView News Flow,earnings_guidance,earnings_report,uncertain,medium,0.75,direct,SOWG,Sow Good Inc. Reports Third Quarter 2025 Results
7fc4ef6673073130904c9975,1763127517,2025-11-14,TradingView News Flow,earnings_guidance,earnings_positive,bullish,high,0.89,direct,TRT,"Trio-Tech Q1 revenue jumps on AI chip demand, but margins hit"
8d52b0e5195bcdf75965bcff,1763561672,2025-11-19,TradingView News Flow,product_launch,product_launch,bullish,medium,0.79,direct,FRGT,Freight Technologies Announces The Commercial Launch Of Zayren - Ai-Powered Freight Rate Prediction & Carrier Matching Platform
0da62c49338f103a712c9ea7,1763589152,2025-11-19,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,BQ,Boqii Holding Ltd Files For Mixed Shelf Of Up To $230 Million - SEC Filing
6038d4b435524ce0fc2586ae,1763638135,2025-11-20,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,GRNQ,"GreenPro Capital enters acquisition agreement with seller Lim Chee Yin, says in SEC Filing"
40140f38c7f085b1e7192056,1763675566,2025-11-20,TradingView News Flow,capital_structure,offering,bearish,high,0.94,direct,IKT,Inhibikase Therapeutics Announces Proposed Public Offering Of Common Stock And Pre-Funded Warrants
dede569e603cdf4155e6c40c,1763693837,2025-11-20,TradingView News Flow,capital_structure,offering,bearish,high,0.94,direct,IKT,Inhibikase Therapeutics Prices Public Offering Of 46 Million Shares At $1.45 Per Share
82a5e71bef93c0bb1729bb3a,1763762100,2025-11-21,TradingView News Flow,capital_structure,offering,bearish,high,0.94,direct,GNPX,"Genprex, Inc. Announces $75 Million Stock Offering"
b9e02d427e58be682dee6812,1764008893,2025-11-24,TradingView News Flow,fda_clinical,fda_positive,bullish,high,0.94,direct,NRSN,NeuroSense Receives FDA Clearance To Initiate Pivotal Phase 3 Trial For PrimeC In ALS
eb70a4644accce13196d62e9,1764023113,2025-11-24,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,NCL,Northann Corp - Enters Asset Purchase Agreement With Kingsford - SEC Filing
85fa57126350d4f0de123879,1764680167,2025-12-02,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,PMAX,Powell Max Ltd - Po Man Stella Leung Has Ceased To Be The Controlling Shareholder Of The Company- SEC Filing
709a0b5b6dc3b27192f55f0e,1764943271,2025-12-05,TradingView News Flow,contract_partnership,partnership,bullish,medium,0.83,direct,FRGT,Freight Technologies Announces Strategic Partnership With Solvento
f8eb4ec621f8f08b3dd48fd4,1764943398,2025-12-05,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,TRT,Trio-Tech International Buys 50% Equity In Trio-Tech Malaysia - SEC FILING
c13fa83f1c6aed0725250360,1765206360,2025-12-08,TradingView News Flow,fda_clinical,fda_positive,bullish,high,0.94,direct,NRSN,"NRSN: PARAGON phase III ALS trial starts mid-2026, with strong data, FDA clearance, and global scope"
99ab96dcaef654d11689543c,1765541329,2025-12-12,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,VENU,"Venu Holding Corp - On Dec 10, Entered Operator Agreement With Live Nation - SEC Filing"
ba7158730f7c3ec3f2dabbb6,1765801912,2025-12-15,TradingView News Flow,capital_structure,offering,bearish,high,0.94,direct,TLSA,Tiziana Life Sciences Announces Withdrawal Of Proposed Public Offering
ce1a233d228bd46fbeb39232,1765956132,2025-12-17,TradingView News Flow,earnings_guidance,earnings_negative,bearish,high,0.9,direct,YI,Chinese healthcare platform 111 Inc's Q3 revenue drops amid model shift
684c8d9e6cc0c50500bedfea,1767049202,2025-12-29,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,NTCL,NetClass Technology To Offer Securities Of Up To $100 Million - SEC Filing
aea5125de303afa1a18330c5,1767186502,2025-12-31,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,PMAX,"Powell Max Ltd Kam Lai Kwok Resigns As CFO Effective December 30, 2025 - SEC Filing"
be0e4a68216194a777e9f2a8,1767391405,2026-01-02,TradingView News Flow,sec_filing,sec_filing,uncertain,low,0.76,direct,CNCK,Coincheck Group NV Files For Mixed Shelf Of Up To $200 Million - SEC Filing
